date_x,company,ticker,brand,sales,status,New_date,date_y,name,cusip,eqr,eqr_expanded,svr,svr_expanded,amr,amr_expanded,sgr,sgr_expanded,gqr,gqr_expanded
2019-01-01,Apple Computer Korea Ltd,AAPL,애플,711000,F,2022-12-20 19:43:32+00:00,2016-02-26,APPLE INC,37833100,5,81,5,93,5,95,5,87,10,83
2019-01-01,Apple Computer Korea Ltd,AAPL,애플,711000,F,2022-12-20 19:43:32+00:00,2016-02-19,APPLE INC,37833100,5,89,5,94,5,94,5,89,10,85
2019-01-01,Apple Computer Korea Ltd,AAPL,애플,711000,F,2022-12-20 19:43:32+00:00,2016-02-12,APPLE INC,37833100,5,89,5,91,5,93,5,91,10,85
2019-01-01,Apple Computer Korea Ltd,AAPL,애플,711000,F,2022-12-20 19:43:32+00:00,2016-02-05,APPLE INC,37833100,5,89,5,93,5,94,5,94,10,83
2019-01-01,Apple Computer Korea Ltd,AAPL,애플,711000,F,2022-12-20 19:43:32+00:00,2016-01-29,APPLE INC,37833100,5,89,5,91,5,84,5,85,10,83
2019-01-01,Apple Computer Korea Ltd,AAPL,애플,711000,F,2022-12-20 19:43:32+00:00,2016-01-22,APPLE INC,37833100,5,93,5,88,4,80,5,87,10,92
2019-01-01,Apple Computer Korea Ltd,AAPL,애플,711000,F,2022-12-20 19:43:32+00:00,2016-01-15,APPLE INC,37833100,5,93,5,90,4,77,5,88,10,92
2019-01-01,Apple Computer Korea Ltd,AAPL,애플,711000,F,2022-12-20 19:43:32+00:00,2016-01-08,APPLE INC,37833100,5,93,5,92,4,71,5,88,10,92
2019-01-01,Apple Computer Korea Ltd,AAPL,애플,711000,F,2022-12-20 19:43:32+00:00,2016-01-01,APPLE INC,37833100,4,75,5,90,4,70,5,95,10,92
